Total Reward,Total Profit,Ticket,Model,Start Period,End Period,Risk-Free Rate,Time in Market,Cumulative Return,CAGR﹪,Sharpe,Prob. Sharpe Ratio,Smart Sharpe,Sortino,Smart Sortino,Sortino/√2,Smart Sortino/√2,Omega,Max Drawdown,Longest DD Days,Volatility (ann.),Calmar,Skew,Kurtosis,Expected Daily,Expected Monthly,Expected Yearly,Kelly Criterion,Risk of Ruin,Daily Value-at-Risk,Expected Shortfall (cVaR),Max Consecutive Wins,Max Consecutive Losses,Gain/Pain Ratio,Gain/Pain (1M),Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,MTD,3M,6M,YTD,1Y,3Y (ann.),5Y (ann.),10Y (ann.),All-time (ann.),Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,Avg. Drawdown,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Serenity Index,Avg. Up Month,Avg. Down Month,Win Days,Win Month,Win Quarter,Win Year,Action Sell,Action Buy
285.3000000000376,0.942802763271697,EURUSD60,A2C,2023-04-17,2023-12-04,0.0%,8.0%,-5.72%,-6.25%,-0.26,14.91%,-0.26,-0.35,-0.35,-0.24,-0.24,0.83,-7.81%,187,1.42%,-0.8,-2.48,96.13,-0.0%,-0.65%,-5.72%,-8.65%,0.0%,-0.15%,-0.15%,1,1,-0.21,-0.51,1.09,0.83,-,0.39,-,38.47,1.2,0.86%,-3.07%,-6.24%,-5.72%,-5.72%,-6.25%,-6.25%,-6.25%,-6.25%,0.91%,-1.64%,2.34%,-3.7%,-5.72%,-5.72%,-2.59%,57,0.73,0.04,-0.02,1.39%,-2.25%,43.32%,44.44%,0.0%,0.0%,3650,301
175.20000000001528,0.8657141959754614,EURUSD60,DQN,2023-04-17,2023-12-04,0.0%,15.0%,-13.43%,-14.61%,-1.15,0.0%,-1.15,-1.44,-1.43,-1.02,-1.01,0.57,-13.76%,231,0.79%,-1.06,-2.8,84.03,-0.0%,-1.59%,-13.43%,-27.21%,0.0%,-0.09%,-0.09%,1,1,-0.62,-0.93,1.02,0.57,0.01,0.21,0.02,26.75,1.91,0.26%,-5.66%,-10.87%,-13.43%,-13.43%,-14.61%,-14.61%,-14.61%,-14.61%,0.52%,-1.08%,0.75%,-4.5%,-13.43%,-13.43%,-13.76%,231,1.04,0.07,-0.01,0.51%,-2.17%,35.82%,22.22%,0.0%,0.0%,1101,2850
-631.0000000000095,0.7577541328868922,EURUSD60,PPO,2023-04-17,2023-12-04,0.0%,23.0%,-24.22%,-26.21%,-1.54,0.0%,-1.53,-1.94,-1.93,-1.38,-1.36,0.53,-24.47%,231,1.14%,-1.07,-0.89,38.24,-0.01%,-3.04%,-24.22%,-30.88%,0.0%,-0.13%,-0.13%,1,1,-0.7,-1.0,1.0,0.53,0.2,0.18,0.38,21.84,2.65,-0.44%,-11.99%,-21.29%,-24.22%,-24.22%,-26.21%,-26.21%,-26.21%,-26.21%,0.81%,-0.9%,-0.44%,-6.56%,-24.22%,-24.22%,-24.47%,231,1.13,0.14,-0.01,-,-3.01%,34.55%,0.0%,0.0%,0.0%,2537,1414
-200.39999999996502,0.9576609915059829,EURUSD60,TR-DQN,2023-04-17,2023-12-04,0.0%,4.0%,-4.06%,-4.44%,-1.11,0.0%,-1.1,-1.28,-1.27,-0.9,-0.9,0.32,-4.06%,228,0.24%,-1.09,-6.1,164.08,-0.0%,-0.46%,-4.06%,-54.42%,0.0%,-0.03%,-0.03%,1,1,-0.73,-1.0,0.92,0.32,-,0.08,-,0.0,0.97,-0.12%,-1.81%,-3.31%,-4.06%,-4.06%,-4.44%,-4.44%,-4.44%,-4.44%,0.2%,-0.33%,-0.05%,-0.8%,-4.06%,-4.06%,-4.06%,228,1.02,0.02,-0.01,-,-0.46%,25.93%,0.0%,0.0%,0.0%,144,3807
-239.8999999999929,0.9602153991396162,GBPUSD60,A2C,2023-04-17,2023-12-04,0.0%,2.0%,-3.98%,-4.35%,-0.17,24.7%,-0.17,-0.22,-0.22,-0.16,-0.16,0.81,-6.11%,156,1.45%,-0.71,-2.67,205.07,-0.0%,-0.45%,-3.98%,-11.54%,0.0%,-0.15%,-0.15%,1,1,-0.21,-0.43,0.87,0.81,-,0.34,-,0.0,0.01,0.07%,-1.18%,-2.14%,-3.98%,-3.98%,-4.35%,-4.35%,-4.35%,-4.35%,1.72%,-1.93%,2.71%,-4.01%,-3.98%,-3.98%,-5.42%,108,0.64,0.03,-0.03,1.28%,-1.8%,48.1%,44.44%,33.33%,0.0%,3872,79
-131.60000000001205,0.9487294014577096,GBPUSD60,DQN,2023-04-17,2023-12-04,0.0%,4.0%,-5.13%,-5.6%,-0.23,17.36%,-0.23,-0.29,-0.29,-0.21,-0.21,0.8,-7.18%,231,1.41%,-0.78,-4.68,156.98,-0.0%,-0.58%,-5.13%,-12.2%,0.0%,-0.15%,-0.15%,1,1,-0.23,-0.54,0.87,0.8,-,0.33,-,29.34,0.51,-0.24%,-0.67%,-3.32%,-5.13%,-5.13%,-5.6%,-5.6%,-5.6%,-5.6%,1.32%,-1.75%,3.0%,-3.71%,-5.13%,-5.13%,-7.18%,231,0.71,0.03,-0.02,1.42%,-1.56%,47.86%,33.33%,33.33%,0.0%,3806,145
233.79999999997543,0.8054274220623565,GBPUSD60,PPO,2023-04-17,2023-12-04,0.0%,23.0%,-19.46%,-21.11%,-1.42,0.0%,-1.41,-1.75,-1.73,-1.23,-1.22,0.56,-19.62%,231,0.97%,-1.08,-2.04,43.92,-0.01%,-2.38%,-19.46%,-30.41%,0.0%,-0.11%,-0.11%,1,1,-0.69,-0.94,0.87,0.56,0.26,0.19,0.46,20.13,2.49,0.51%,-5.84%,-14.75%,-19.46%,-19.46%,-21.11%,-21.11%,-21.11%,-21.11%,0.6%,-0.99%,0.88%,-5.66%,-19.46%,-19.46%,-19.62%,231,1.1,0.12,-0.01,0.7%,-3.23%,39.42%,22.22%,0.0%,0.0%,1398,2553
-47.40000000002013,0.9596249899183869,GBPUSD60,TR-DQN,2023-04-17,2023-12-04,0.0%,3.0%,-4.04%,-4.42%,-0.19,21.92%,-0.19,-0.26,-0.26,-0.18,-0.18,0.82,-6.18%,162,1.31%,-0.71,-1.79,134.82,-0.0%,-0.46%,-4.04%,-9.53%,0.0%,-0.14%,-0.14%,1,1,-0.19,-0.37,1.05,0.82,-,0.38,-,10.38,0.45,-0.24%,-1.22%,-3.12%,-4.04%,-4.04%,-4.42%,-4.42%,-4.42%,-4.42%,1.33%,-1.63%,4.28%,-4.44%,-4.04%,-4.04%,-4.09%,77,0.65,0.03,-0.02,2.25%,-1.77%,43.81%,33.33%,33.33%,0.0%,3843,108
400.3000000000181,0.9778291186373967,USDCAD60,A2C,2023-04-17,2023-12-04,0.0%,4.0%,-2.22%,-2.43%,-0.11,33.54%,-0.11,-0.16,-0.16,-0.11,-0.11,0.9,-6.05%,138,1.24%,-0.4,3.63,166.31,-0.0%,-0.25%,-2.22%,-5.0%,0.0%,-0.13%,-0.13%,1,1,-0.11,-0.29,1.1,0.9,-,0.45,-,21.38,0.58,0.71%,-0.04%,-1.78%,-2.22%,-2.22%,-2.43%,-2.43%,-2.43%,-2.43%,1.71%,-1.12%,2.64%,-3.21%,-2.22%,-2.22%,-1.99%,37,0.35,0.03,-0.01,1.29%,-1.46%,44.9%,44.44%,33.33%,0.0%,3795,156
-641.000000000018,0.8504618396710256,USDCAD60,DQN,2023-04-17,2023-12-04,0.0%,16.0%,-14.95%,-16.26%,-1.28,0.0%,-1.27,-1.63,-1.62,-1.15,-1.14,0.56,-14.95%,231,0.8%,-1.09,-0.5,31.79,-0.0%,-1.78%,-14.95%,-30.69%,0.0%,-0.09%,-0.09%,1,1,-0.64,-1.0,0.89,0.56,0.12,0.19,0.21,25.88,1.94,-0.3%,-4.87%,-12.5%,-14.95%,-14.95%,-16.26%,-16.26%,-16.26%,-16.26%,0.49%,-0.53%,-0.3%,-2.85%,-14.95%,-14.95%,-14.95%,231,1.08,0.09,-0.01,-,-1.78%,38.62%,0.0%,0.0%,0.0%,1743,2208
